"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"KRC Genk","Jupiler Pro League","Belgium","Maarten Vandevoordt","https://www.transfermarkt.com/maarten-vandevoordt/profil/spieler/486046","Goalkeeper",16,"Belgium",12,0,0,0,2018
"KRC Genk","Jupiler Pro League","Belgium","Gaëtan Coucke","https://www.transfermarkt.com/gaetan-coucke/profil/spieler/338651","Goalkeeper",19,"Belgium",0,0,0,0,2018
"KRC Genk","Jupiler Pro League","Belgium","Nordin Jackers","https://www.transfermarkt.com/nordin-jackers/profil/spieler/250543","Goalkeeper",20,"Belgium",46,7,0,572,2018
"KRC Genk","Jupiler Pro League","Belgium","Danny Vukovic","https://www.transfermarkt.com/danny-vukovic/profil/spieler/43113","Goalkeeper",33,"Australia",56,51,0,4588,2018
"KRC Genk","Jupiler Pro League","Belgium","Joakim Maehle","https://www.transfermarkt.com/joakim-maehle/profil/spieler/369674","Right-Back",21,"Denmark",55,54,4,4734,2018
"KRC Genk","Jupiler Pro League","Belgium","Jhon Lucumí","https://www.transfermarkt.com/jhon-lucumi/profil/spieler/413565","Centre-Back",20,"Colombia",36,27,0,2288,2018
"KRC Genk","Jupiler Pro League","Belgium","Joseph Aidoo","https://www.transfermarkt.com/joseph-aidoo/profil/spieler/358250","Centre-Back",22,"Ghana",56,41,2,3530,2018
"KRC Genk","Jupiler Pro League","Belgium","Neto Borges","https://www.transfermarkt.com/neto-borges/profil/spieler/557939","Left-Back",21,"Brazil",6,1,0,90,2018
"KRC Genk","Jupiler Pro League","Belgium","Jakub Brabec","https://www.transfermarkt.com/jakub-brabec/profil/spieler/112948","Centre-Back",25,"Czech Republic",0,0,0,0,2018
"KRC Genk","Jupiler Pro League","Belgium","Jere Uronen","https://www.transfermarkt.com/jere-uronen/profil/spieler/131827","Left-Back",23,"Finland",45,43,1,3535,2018
"KRC Genk","Jupiler Pro League","Belgium","Dries Wouters","https://www.transfermarkt.com/dries-wouters/profil/spieler/249570","Centre-Back",21,"Belgium",38,10,1,451,2018
"KRC Genk","Jupiler Pro League","Belgium","Amine Khammas","https://www.transfermarkt.com/amine-khammas/profil/spieler/401938","Left-Back",19,"Morocco",0,0,0,0,2018
"KRC Genk","Jupiler Pro League","Belgium","Rubin Seigers","https://www.transfermarkt.com/rubin-seigers/profil/spieler/314980","Centre-Back",20,"Belgium",22,7,0,363,2018
"KRC Genk","Jupiler Pro League","Belgium","Sébastien Dewaest","https://www.transfermarkt.com/sebastien-dewaest/profil/spieler/125754","Centre-Back",27,"Belgium",57,50,7,4418,2018
"KRC Genk","Jupiler Pro League","Belgium","Bojan Nastic","https://www.transfermarkt.com/bojan-nastic/profil/spieler/168943","Left-Back",23,"Bosnia-Herzegovina",29,13,0,780,2018
"KRC Genk","Jupiler Pro League","Belgium","Sander Berge","https://www.transfermarkt.com/sander-berge/profil/spieler/333014","Defensive Midfield",20,"Norway",41,40,2,3158,2018
"KRC Genk","Jupiler Pro League","Belgium","Ruslan Malinovskyi","https://www.transfermarkt.com/ruslan-malinovskyi/profil/spieler/207877","Attacking Midfield",25,"Ukraine",53,51,16,4092,2018
"KRC Genk","Jupiler Pro League","Belgium","Bryan Heynen","https://www.transfermarkt.com/bryan-heynen/profil/spieler/356081","Central Midfield",21,"Belgium",51,44,6,3161,2018
"KRC Genk","Jupiler Pro League","Belgium","Jakub Piotrowski","https://www.transfermarkt.com/jakub-piotrowski/profil/spieler/377243","Defensive Midfield",20,"Poland",20,13,1,439,2018
"KRC Genk","Jupiler Pro League","Belgium","Vladimir Screciu","https://www.transfermarkt.com/vladimir-screciu/profil/spieler/418219","Defensive Midfield",18,"Romania",0,0,0,0,2018
"KRC Genk","Jupiler Pro League","Belgium","Casper De Norre","https://www.transfermarkt.com/casper-de-norre/profil/spieler/292806","Central Midfield",21,"Belgium",20,13,0,704,2018
"KRC Genk","Jupiler Pro League","Belgium","Alejandro Pozuelo","https://www.transfermarkt.com/alejandro-pozuelo/profil/spieler/188853","Attacking Midfield",26,"Spain",45,42,7,3439,2018
"KRC Genk","Jupiler Pro League","Belgium","Ivan Fiolic","https://www.transfermarkt.com/ivan-fiolic/profil/spieler/226070","Attacking Midfield",22,"Croatia",13,8,0,230,2018
"KRC Genk","Jupiler Pro League","Belgium","Ibrahima Seck","https://www.transfermarkt.com/ibrahima-seck/profil/spieler/209933","Defensive Midfield",28,"Senegal",33,20,1,765,2018
"KRC Genk","Jupiler Pro League","Belgium","Leandro Trossard","https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028","Left Winger",23,"Belgium",47,47,22,3769,2018
"KRC Genk","Jupiler Pro League","Belgium","Edon Zhegrova","https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857","Right Winger",19,"Kosovo",14,12,4,615,2018
"KRC Genk","Jupiler Pro League","Belgium","Junya Ito","https://www.transfermarkt.com/junya-ito/profil/spieler/348791","Right Winger",25,"Japan",14,14,3,1018,2018
"KRC Genk","Jupiler Pro League","Belgium","Joseph Paintsil","https://www.transfermarkt.com/joseph-paintsil/profil/spieler/534435","Right Winger",20,"Ghana",45,37,5,1751,2018
"KRC Genk","Jupiler Pro League","Belgium","Marcus Ingvartsen","https://www.transfermarkt.com/marcus-ingvartsen/profil/spieler/269878","Centre-Forward",22,"Denmark",17,11,1,175,2018
"KRC Genk","Jupiler Pro League","Belgium","Benson Manuel","https://www.transfermarkt.com/benson-manuel/profil/spieler/322702","Right Winger",21,"Belgium",1,1,0,90,2018
"KRC Genk","Jupiler Pro League","Belgium","Dante Vanzeir","https://www.transfermarkt.com/dante-vanzeir/profil/spieler/289648","Centre-Forward",20,"Belgium",0,0,0,0,2018
"KRC Genk","Jupiler Pro League","Belgium","Ally Samatta","https://www.transfermarkt.com/ally-samatta/profil/spieler/182201","Centre-Forward",25,"Tanzania",54,51,32,4208,2018
"KRC Genk","Jupiler Pro League","Belgium","Zinho Gano","https://www.transfermarkt.com/zinho-gano/profil/spieler/182446","Centre-Forward",24,"Guinea-Bissau",47,30,6,1091,2018
"KRC Genk","Jupiler Pro League","Belgium","Nikolaos Karelis","https://www.transfermarkt.com/nikolaos-karelis/profil/spieler/63487","Centre-Forward",26,"Greece",1,1,0,24,2018
"KRC Genk","Jupiler Pro League","Belgium","Dieumerci Ndongala","https://www.transfermarkt.com/dieumerci-ndongala/profil/spieler/103284","Right Winger",27,"DR Congo",52,43,6,2645,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Davy Roef","https://www.transfermarkt.com/davy-roef/profil/spieler/140808","Goalkeeper",24,"Belgium",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Thomas Didillon","https://www.transfermarkt.com/thomas-didillon/profil/spieler/182891","Goalkeeper",22,"France",47,45,0,4050,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Frank Boeckx","https://www.transfermarkt.com/frank-boeckx/profil/spieler/13271","Goalkeeper",31,"Belgium",46,2,0,180,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Boy de Jong","https://www.transfermarkt.com/boy-de-jong/profil/spieler/182557","Goalkeeper",24,"Netherlands",1,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Ilias Moutha-Sebtaoui","https://www.transfermarkt.com/ilias-moutha-sebtaoui/profil/spieler/365450","Goalkeeper",19,"Belgium",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Sebastiaan Bornauw","https://www.transfermarkt.com/sebastiaan-bornauw/profil/spieler/338629","Centre-Back",19,"Belgium",32,28,1,2258,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Hannes Delcroix","https://www.transfermarkt.com/hannes-delcroix/profil/spieler/338635","Centre-Back",19,"Belgium",8,2,0,71,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Elias Cobbaut","https://www.transfermarkt.com/elias-cobbaut/profil/spieler/419723","Centre-Back",20,"Belgium",14,12,0,904,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Dennis Appiah","https://www.transfermarkt.com/dennis-appiah/profil/spieler/111038","Right-Back",26,"France",34,21,0,1551,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Antonio Milic","https://www.transfermarkt.com/antonio-milic/profil/spieler/179896","Centre-Back",24,"Croatia",34,25,0,1843,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Josué Sá","https://www.transfermarkt.com/josue-sa/profil/spieler/139341","Centre-Back",26,"Portugal",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","James Lawrence","https://www.transfermarkt.com/james-lawrence/profil/spieler/272706","Centre-Back",25,"Wales",31,26,0,2069,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Andy Nájar","https://www.transfermarkt.com/andy-najar/profil/spieler/145838","Right-Back",25,"Honduras",32,30,0,2026,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Ognjen Vranjes","https://www.transfermarkt.com/ognjen-vranjes/profil/spieler/94807","Centre-Back",28,"Bosnia-Herzegovina",15,14,0,1189,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Kara Mbodj","https://www.transfermarkt.com/kara-mbodj/profil/spieler/141828","Centre-Back",28,"Senegal",17,17,0,1469,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Abdoul Karim Danté","https://www.transfermarkt.com/abdoul-karim-dante/profil/spieler/401979","Centre-Back",19,"Mali",2,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Bubacarr Sanneh","https://www.transfermarkt.com/bubacarr-sanneh/profil/spieler/292366","Centre-Back",23,"The Gambia",39,19,1,1340,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Ivan Obradovic","https://www.transfermarkt.com/ivan-obradovic/profil/spieler/49802","Left-Back",29,"Serbia",11,10,0,773,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Emmanuel Sowah Adjei","https://www.transfermarkt.com/emmanuel-sowah-adjei/profil/spieler/408839","Right-Back",20,"Belgium",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Albert Sambi Lokonga","https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967","Central Midfield",18,"Belgium",14,8,0,468,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Leander Dendoncker","https://www.transfermarkt.com/leander-dendoncker/profil/spieler/168157","Defensive Midfield",23,"Belgium",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Yari Verschaeren","https://www.transfermarkt.com/yari-verschaeren/profil/spieler/502302","Attacking Midfield",16,"Belgium",22,22,2,1685,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Edo Kayembe","https://www.transfermarkt.com/edo-kayembe/profil/spieler/486477","Defensive Midfield",20,"DR Congo",26,15,0,843,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Pieter Gerkens","https://www.transfermarkt.com/pieter-gerkens/profil/spieler/183383","Attacking Midfield",23,"Belgium",42,37,7,2341,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Peter Zulj","https://www.transfermarkt.com/peter-zulj/profil/spieler/128105","Central Midfield",25,"Austria",17,10,0,666,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Knowledge Musona","https://www.transfermarkt.com/knowledge-musona/profil/spieler/120785","Attacking Midfield",28,"Zimbabwe",19,10,1,463,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Ryota Morioka","https://www.transfermarkt.com/ryota-morioka/profil/spieler/140310","Attacking Midfield",27,"Japan",11,10,0,611,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Sven Kums","https://www.transfermarkt.com/sven-kums/profil/spieler/42735","Central Midfield",30,"Belgium",38,35,5,2992,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Yevgen Makarenko","https://www.transfermarkt.com/yevgen-makarenko/profil/spieler/96455","Defensive Midfield",27,"Ukraine",23,20,0,1592,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Sieben Dewaele","https://www.transfermarkt.com/sieben-dewaele/profil/spieler/371936","Defensive Midfield",19,"Belgium",1,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Adrien Trébel","https://www.transfermarkt.com/adrien-trebel/profil/spieler/159622","Central Midfield",27,"Madagascar",29,29,3,2308,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Jérémy Doku","https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049","Left Winger",16,"Belgium",11,6,0,105,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Alexis Saelemaekers","https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950","Right Winger",19,"Belgium",40,34,0,2173,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Francis Amuzu","https://www.transfermarkt.com/francis-amuzu/profil/spieler/423604","Left Winger",18,"Belgium",41,35,1,1904,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Isaac Kiese Thelin","https://www.transfermarkt.com/isaac-kiese-thelin/profil/spieler/201311","Centre-Forward",26,"Sweden",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Landry Dimata","https://www.transfermarkt.com/landry-dimata/profil/spieler/311489","Centre-Forward",20,"Belgium",24,24,13,1840,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Mo Dauda","https://www.transfermarkt.com/mo-dauda/profil/spieler/360711","Left Winger",20,"Ghana",15,7,0,206,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Luka Adzic","https://www.transfermarkt.com/luka-adzic/profil/spieler/423609","Left Winger",19,"Serbia",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Kenny Saief","https://www.transfermarkt.com/kenny-saief/profil/spieler/209019","Left Winger",24,"United States",19,17,0,604,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Silvere Ganvoula","https://www.transfermarkt.com/silvere-ganvoula/profil/spieler/312819","Centre-Forward",22,"Congo",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Alexandru Chipciu","https://www.transfermarkt.com/alexandru-chipciu/profil/spieler/64126","Right Winger",29,"Romania",0,0,0,0,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Zakaria Bakkali","https://www.transfermarkt.com/zakaria-bakkali/profil/spieler/203378","Left Winger",22,"Belgium",27,22,3,1421,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Kristal Abazaj","https://www.transfermarkt.com/kristal-abazaj/profil/spieler/481795","Right Winger",21,"Albania",1,1,0,21,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Yannick Bolasie","https://www.transfermarkt.com/yannick-bolasie/profil/spieler/75471","Left Winger",29,"DR Congo",17,17,6,1415,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Ivan Santini","https://www.transfermarkt.com/ivan-santini/profil/spieler/45832","Centre-Forward",29,"Croatia",43,39,16,2889,2018
"RSC Anderlecht","Jupiler Pro League","Belgium","Olivier Dhauholou","https://www.transfermarkt.com/olivier-dhauholou/profil/spieler/627469","Centre-Forward",21,"Cote d'Ivoire",3,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Ethan Horvath","https://www.transfermarkt.com/ethan-horvath/profil/spieler/242284","Goalkeeper",23,"United States",49,34,0,3060,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Karlo Letica","https://www.transfermarkt.com/karlo-letica/profil/spieler/318707","Goalkeeper",21,"Croatia",48,16,0,1440,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Guillaume Hubert","https://www.transfermarkt.com/guillaume-hubert/profil/spieler/129585","Goalkeeper",24,"Belgium",3,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Brent Gabriël","https://www.transfermarkt.com/brent-gabriel/profil/spieler/338665","Goalkeeper",19,"Belgium",0,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Erhan Masovic","https://www.transfermarkt.com/erhan-masovic/profil/spieler/343959","Centre-Back",19,"Serbia",0,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Clinton Mata","https://www.transfermarkt.com/clinton-mata/profil/spieler/187718","Right-Back",25,"Angola",30,28,2,1956,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Stefano Denswil","https://www.transfermarkt.com/stefano-denswil/profil/spieler/182923","Centre-Back",25,"Suriname",45,44,2,3852,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Brandon Mechele","https://www.transfermarkt.com/brandon-mechele/profil/spieler/236168","Centre-Back",25,"Belgium",44,40,0,3600,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Alexander Scholz","https://www.transfermarkt.com/alexander-scholz/profil/spieler/153582","Centre-Back",25,"Denmark",3,1,0,90,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Ahmed Touba","https://www.transfermarkt.com/ahmed-touba/profil/spieler/325924","Centre-Back",20,"Algeria",0,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","Centre-Back",23,"Brazil",12,6,0,77,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Jordi Vanlerberghe","https://www.transfermarkt.com/jordi-vanlerberghe/profil/spieler/235275","Centre-Back",22,"Belgium",0,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Noah Fadiga","https://www.transfermarkt.com/noah-fadiga/profil/spieler/379168","Right-Back",18,"Senegal",3,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Matej Mitrovic","https://www.transfermarkt.com/matej-mitrovic/profil/spieler/206734","Centre-Back",24,"Croatia",25,14,0,1209,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Dion Cools","https://www.transfermarkt.com/dion-cools/profil/spieler/316422","Centre-Back",22,"Malaysia",32,20,1,605,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Thibault Vlietinck","https://www.transfermarkt.com/thibault-vlietinck/profil/spieler/249568","Right-Back",20,"Belgium",18,15,1,750,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Saulo Decarli","https://www.transfermarkt.com/saulo-decarli/profil/spieler/154578","Centre-Back",26,"Switzerland",27,12,0,700,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Ivan Tomecak","https://www.transfermarkt.com/ivan-tomecak/profil/spieler/49985","Right-Back",28,"Croatia",4,3,0,157,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Benoît Poulain","https://www.transfermarkt.com/benoit-poulain/profil/spieler/80188","Centre-Back",30,"France",43,32,1,2727,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Brendan Schoonbaert","https://www.transfermarkt.com/brendan-schoonbaert/profil/spieler/369159","Centre-Back",18,"Belgium",1,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Sofyan Amrabat","https://www.transfermarkt.com/sofyan-amrabat/profil/spieler/287579","Defensive Midfield",21,"Morocco",36,29,1,1487,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Hans Vanaken","https://www.transfermarkt.com/hans-vanaken/profil/spieler/137576","Attacking Midfield",25,"Belgium",50,50,17,4398,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Marvelous Nakamba","https://www.transfermarkt.com/marvelous-nakamba/profil/spieler/324882","Defensive Midfield",24,"Zimbabwe",33,23,0,1482,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Mats Rits","https://www.transfermarkt.com/mats-rits/profil/spieler/92164","Defensive Midfield",24,"Belgium",50,48,3,3660,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Siebe Schrijvers","https://www.transfermarkt.com/siebe-schrijvers/profil/spieler/208552","Central Midfield",21,"Belgium",49,38,12,2492,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Brandon Baiye","https://www.transfermarkt.com/brandon-baiye/profil/spieler/358025","Defensive Midfield",17,"Belgium",7,2,0,54,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Ruud Vormer","https://www.transfermarkt.com/ruud-vormer/profil/spieler/45864","Central Midfield",30,"Netherlands",48,47,7,3992,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Lior Refaelov","https://www.transfermarkt.com/lior-refaelov/profil/spieler/24484","Attacking Midfield",32,"Israel",0,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Loïs Openda","https://www.transfermarkt.com/lois-openda/profil/spieler/368887","Centre-Forward",18,"Belgium",44,28,4,715,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Arnaut Danjuma","https://www.transfermarkt.com/arnaut-danjuma/profil/spieler/355861","Left Winger",21,"Netherlands",25,24,6,1472,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Krépin Diatta","https://www.transfermarkt.com/krepin-diatta/profil/spieler/490426","Right Winger",19,"Senegal",29,28,2,1922,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Cyril Ngonge","https://www.transfermarkt.com/cyril-ngonge/profil/spieler/358032","Right Winger",18,"Belgium",9,5,0,202,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Emmanuel Dennis","https://www.transfermarkt.com/emmanuel-dennis/profil/spieler/448854","Left Winger",20,"Nigeria",36,32,7,2141,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Riley McGree","https://www.transfermarkt.com/riley-mcgree/profil/spieler/428061","Left Winger",19,"Australia",0,0,0,0,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Wesley Moraes","https://www.transfermarkt.com/wesley-moraes/profil/spieler/381362","Centre-Forward",21,"Brazil",48,48,17,3885,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Jelle Vossen","https://www.transfermarkt.com/jelle-vossen/profil/spieler/42748","Centre-Forward",29,"Belgium",28,18,5,705,2018
"Club Brugge KV","Jupiler Pro League","Belgium","Kaveh Rezaei","https://www.transfermarkt.com/kaveh-rezaei/profil/spieler/132553","Centre-Forward",26,"Iran",21,13,1,504,2018
"KAA Gent","Jupiler Pro League","Belgium","Thomas Kaminski","https://www.transfermarkt.com/thomas-kaminski/profil/spieler/77757","Goalkeeper",25,"Belgium",22,22,0,2010,2018
"KAA Gent","Jupiler Pro League","Belgium","Lovre Kalinic","https://www.transfermarkt.com/lovre-kalinic/profil/spieler/46405","Goalkeeper",28,"Croatia",18,18,0,1576,2018
"KAA Gent","Jupiler Pro League","Belgium","Jari De Busser","https://www.transfermarkt.com/jari-de-busser/profil/spieler/426849","Goalkeeper",18,"Belgium",1,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Yannick Thoelen","https://www.transfermarkt.com/yannick-thoelen/profil/spieler/64246","Goalkeeper",27,"Belgium",46,8,0,674,2018
"KAA Gent","Jupiler Pro League","Belgium","Colin Coosemans","https://www.transfermarkt.com/colin-coosemans/profil/spieler/154351","Goalkeeper",25,"Belgium",13,3,0,270,2018
"KAA Gent","Jupiler Pro League","Belgium","Anthony Swolfs","https://www.transfermarkt.com/anthony-swolfs/profil/spieler/353148","Goalkeeper",20,"Belgium",0,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Thomas Foket","https://www.transfermarkt.com/thomas-foket/profil/spieler/215114","Right-Back",23,"Belgium",9,9,0,797,2018
"KAA Gent","Jupiler Pro League","Belgium","Deiver Machado","https://www.transfermarkt.com/deiver-machado/profil/spieler/332560","Left-Back",24,"Colombia",0,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Thibault De Smet","https://www.transfermarkt.com/thibault-de-smet/profil/spieler/340177","Left-Back",20,"Belgium",28,6,1,324,2018
"KAA Gent","Jupiler Pro League","Belgium","Eric Smith","https://www.transfermarkt.com/eric-smith/profil/spieler/292534","Centre-Back",21,"Sweden",14,3,0,113,2018
"KAA Gent","Jupiler Pro League","Belgium","Arnaud Souquet","https://www.transfermarkt.com/arnaud-souquet/profil/spieler/111058","Right-Back",26,"France",38,36,0,3091,2018
"KAA Gent","Jupiler Pro League","Belgium","Dylan Bronn","https://www.transfermarkt.com/dylan-bronn/profil/spieler/450417","Centre-Back",23,"Tunisia",38,33,8,2836,2018
"KAA Gent","Jupiler Pro League","Belgium","Siebe Horemans","https://www.transfermarkt.com/siebe-horemans/profil/spieler/314915","Right-Back",20,"Belgium",0,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Sigurd Rosted","https://www.transfermarkt.com/sigurd-rosted/profil/spieler/230336","Centre-Back",23,"Norway",47,38,6,3044,2018
"KAA Gent","Jupiler Pro League","Belgium","Igor Plastun","https://www.transfermarkt.com/igor-plastun/profil/spieler/97335","Centre-Back",27,"Ukraine",39,26,0,2137,2018
"KAA Gent","Jupiler Pro League","Belgium","Franck Bahi","https://www.transfermarkt.com/franck-bahi/profil/spieler/646376","Left-Back",18,"Guinea",0,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Timothy Derijck","https://www.transfermarkt.com/timothy-derijck/profil/spieler/31131","Centre-Back",31,"Belgium",33,21,1,1657,2018
"KAA Gent","Jupiler Pro League","Belgium","Nana Asare","https://www.transfermarkt.com/nana-asare/profil/spieler/18759","Left-Back",31,"Ghana",48,47,0,4183,2018
"KAA Gent","Jupiler Pro League","Belgium","Giorgi Chakvetadze","https://www.transfermarkt.com/giorgi-chakvetadze/profil/spieler/412616","Attacking Midfield",18,"Georgia",32,31,6,2479,2018
"KAA Gent","Jupiler Pro League","Belgium","Birger Verstraete","https://www.transfermarkt.com/birger-verstraete/profil/spieler/234193","Defensive Midfield",24,"Belgium",44,42,5,3132,2018
"KAA Gent","Jupiler Pro League","Belgium","Brecht Dejaegere","https://www.transfermarkt.com/brecht-dejaegere/profil/spieler/159098","Central Midfield",27,"Belgium",47,41,2,2304,2018
"KAA Gent","Jupiler Pro League","Belgium","Anderson Esiti","https://www.transfermarkt.com/anderson-esiti/profil/spieler/245027","Defensive Midfield",24,"Nigeria",37,30,0,2210,2018
"KAA Gent","Jupiler Pro League","Belgium","Tesfaldet Tekie","https://www.transfermarkt.com/tesfaldet-tekie/profil/spieler/283185","Central Midfield",21,"Sweden",0,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Lucas Schoofs","https://www.transfermarkt.com/lucas-schoofs/profil/spieler/323602","Central Midfield",21,"Belgium",0,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Franko Andrijasevic","https://www.transfermarkt.com/franko-andrijasevic/profil/spieler/107377","Attacking Midfield",27,"Croatia",23,12,0,660,2018
"KAA Gent","Jupiler Pro League","Belgium","Roman Bezus","https://www.transfermarkt.com/roman-bezus/profil/spieler/97567","Attacking Midfield",27,"Ukraine",20,17,1,589,2018
"KAA Gent","Jupiler Pro League","Belgium","Yuya Kubo","https://www.transfermarkt.com/yuya-kubo/profil/spieler/186260","Attacking Midfield",24,"Japan",5,2,0,131,2018
"KAA Gent","Jupiler Pro League","Belgium","Louis Verstraete","https://www.transfermarkt.com/louis-verstraete/profil/spieler/396841","Central Midfield",19,"Belgium",0,0,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Vadis Odjidja-Ofoe","https://www.transfermarkt.com/vadis-odjidja-ofoe/profil/spieler/38388","Central Midfield",29,"Belgium",37,37,4,2928,2018
"KAA Gent","Jupiler Pro League","Belgium","Ahmed Mostafa","https://www.transfermarkt.com/ahmed-mostafa/profil/spieler/469986","Attacking Midfield",20,"Egypt",2,1,0,8,2018
"KAA Gent","Jupiler Pro League","Belgium","Renato Neto","https://www.transfermarkt.com/renato-neto/profil/spieler/112990","Defensive Midfield",26,"Brazil",2,1,0,0,2018
"KAA Gent","Jupiler Pro League","Belgium","Jonathan David","https://www.transfermarkt.com/jonathan-david/profil/spieler/533738","Centre-Forward",18,"Canada",49,43,14,2285,2018
